情感值,Likert量值,句平均情感值,Likert量值,内容
1.8,0,0.9,0,用两次就觉得有点效果。
0,0,0,0,用没了下次还会买
15,1,15,1,草药味道很大，感觉挺好的，虽然肉眼看不见，还是给个好评吧
0,0,0,0,用了段时间，还可以!
-18,-2,-18,-2,京津冀斤斤计较斤斤计较
36,3,36,3,不错不错不错不错
0,0,0,0,还没用，不知道效果如何？
6,1,6,1,还行吧
7,1,7,1,感觉还是有效果的，药味比较重
0,0,0,0,第二次买了，用得还可以
0.32,0,0.32,0,不知道有没有效果
16,2,16,2,试过了才来评价的，还不错，用了两次挺有效果的
7.4,1,7.4,1,没感觉出来明显效果，洗灰去泥很干净
6.6,1,6.6,1,还行吧！
30,3,30,3,香皂的味道不错，洗完满身香香的，就是价钱有点偏贵。
24,2,24,2,品牌值得信耐 送货速度快 服务态度好
-1.98,0,-1.98,0,第二买的效果不行！
-5,0,-5,0,贵。
4,0,4,0,好用
-8,-1,-8,-1,不怎么样
0,0,0,0,这个月底将近三十多年
19.8,2,6.6,1,还行吧！气味也挺好闻的！快递挺快的！
0,0,0,0,可以的哇！不知功效有没有
-24.5,-2,-24.5,-2,不好用，没效果，味道太难闻  都恶心
0,0,0,0,.
23,2,23,2,使用效果感觉不错，以前一直使用舒肤佳，这个感觉滋润一些！
0,0,0,0,还可以，，，，，。，。，。，
31.4,3,31.4,3,效果很好，值得信赖
0,0,0,0,合照，，，，，，
24,2,24,2,不错，便宜实惠的东西，下次还买！
-7,-1,-7,-1,一般一般般
1.8,0,0.9,0,用两次就觉得有点效果。
0,0,0,0,用没了下次还会买
15,1,15,1,草药味道很大，感觉挺好的，虽然肉眼看不见，还是给个好评吧
0,0,0,0,用了段时间，还可以!
-18,-2,-18,-2,京津冀斤斤计较斤斤计较
36,3,36,3,不错不错不错不错
0,0,0,0,还没用，不知道效果如何？
6,1,6,1,还行吧
7,1,7,1,感觉还是有效果的，药味比较重
0,0,0,0,第二次买了，用得还可以
0.32,0,0.32,0,不知道有没有效果
16,2,16,2,试过了才来评价的，还不错，用了两次挺有效果的
7.4,1,7.4,1,没感觉出来明显效果，洗灰去泥很干净
6.6,1,6.6,1,还行吧！
30,3,30,3,香皂的味道不错，洗完满身香香的，就是价钱有点偏贵。
24,2,24,2,品牌值得信耐 送货速度快 服务态度好
-1.98,0,-1.98,0,第二买的效果不行！
-5,0,-5,0,贵。
4,0,4,0,好用
-8,-1,-8,-1,不怎么样
0,0,0,0,这个月底将近三十多年
19.8,2,6.6,1,还行吧！气味也挺好闻的！快递挺快的！
0,0,0,0,可以的哇！不知功效有没有
-24.5,-2,-24.5,-2,不好用，没效果，味道太难闻  都恶心
0,0,0,0,.
23,2,23,2,使用效果感觉不错，以前一直使用舒肤佳，这个感觉滋润一些！
0,0,0,0,还可以，，，，，。，。，。，
31.4,3,31.4,3,效果很好，值得信赖
0,0,0,0,合照，，，，，，
24,2,24,2,不错，便宜实惠的东西，下次还买！
-7,-1,-7,-1,一般一般般
23.5,2,23.5,2,非常不错，洗澡用最好了
5.6,1,5.6,1,买了4块了，很好用
7.4,1,7.4,1,刚用还不知道闻着味道不错
0,0,0,0,感觉没用
6,1,6,1,感觉还行，活动价买的这样比较划算。
6,1,6,1,用了还行
9,1,9,1,用了还不错，身上真的不痒了！
-3,0,-3,0,和一般的没什么区别。
-3,0,-3,0,一般吧，没啥感觉
18.4,2,18.4,2,味道淡淡的香，用了两天皮肤很清爽。
0,0,0,0,太小了吧，刚用就起疙瘩？
27.4,3,27.4,3,宝贝很不错，用着也很香，感觉痘痘也少了很多！
-3.6,0,-3.6,0,第一次用，貌似痘痘没有新发了，再用用……
16.28,2,16.28,2,泡沫很多，味道不错，起没起作用还不知道，感觉还可以，继续关注
2.2,0,2.2,0,还没用不知道管不管用
-3.4,0,-3.4,0,我才刚刚用不知道效果怎么样，我准备再有两块，看看效果到底有没有效果
8,1,4,0,一般般吧！快递很给力
-2.4,0,-1.2,0,己用过多日了，好似还未见什么效果。继续用。
0,0,0,0,可以?可以可以?可以  可以可以
21,2,21,2,正品非常好 方便快捷
23.2,2,23.2,2,好好用，早知道就多买几块，用完很舒服
8,1,8,1,用着还行吧，洗了后身上不那么痒了，肥皂比沐浴液要好吧，添加的化工产品要少很多
-2.4,0,-2.4,0,使用中，还没有看到效果
9,1,9,1,不错
19.4,2,19.4,2,香皂很好，但是效果未见
-7.08,-1,-7.08,-1,不太好用，量少
0,0,0,0,还没有开始用，不知道效果如何？
16.94,2,8.47,1,感觉很好！！！有效果！！！！
3,0,3,0,用了一段才来评价，效果还可以
3,0,3,0,味道可以，效果待验证
-6.4,-1,-6.4,-1,一般般，使用中没啥效果
-4,0,-4,0,还没用，不知道效果
9,1,9,1,还不错吧
1,0,1,0,还行，价格贵
6,1,6,1,好冲洗
0,0,0,0,。。。。。。。。。。
6,1,6,1,挺好的
30,3,30,3,好吧好吧好吧好吧好吧
6,1,6,1,还行
0,0,0,0,洗身上可以不能洗脸用，洗脸会长痘痘
6,1,6,1,好
-3.2,0,-3.2,0,快用完了．没有特别的效果
-2.4,0,-1.2,0,呵呵?、没效果
0,0,0,0,东西用过了，还可以吧！
-3,0,-3,0,其他都好，就是广告图有点恶心
4.7,0,2.35,0,使用了，感觉一般，也许是刚开始使用吧！以后有效果了在来评价！
9,1,9,1,不错哦
8.4,1,8.4,1,还没用，看起来很好
1,0,0.33,0,东西还不错.用了半个月掉蹲坑里了.悲催
0,0,0,0,2016/5/10
6,1,6,1,已收到货了，今天用蛮好的
-3,0,-3,0,一般
9,1,9,1,不错
3.6,0,3.6,0,感觉还行，还没有效果
0,0,0,0,感觉有点用，但药味太大
0,0,0,0,……………………
3.35,0,3.35,0,作用没想象的那么好，普通清洁功能，开始有点效果也是心理作用
8.4,1,8.4,1,很好
9.6,1,9.6,1,还可以，用到最后香皂很软了
3.52,0,3.52,0,还没用不知道好不好
7.2,1,7.2,1,还没用，不知道有没有他说的那么神奇。
8.4,1,8.4,1,很好
-3.1,0,-3.1,0,买两块，第一块用得差不多了，没什么特别的感觉，希望真的能去螨虫吧！
10,1,10,1,质量好，物流快
54,3,54,3,不错不错不错不错不错不错
0,0,0,0,然并卵
-2,0,-2,0,希更有效果吧，脸上天长，背上长也是罪了。
7.2,1,3.6,0,还未使用  不知道具体效果怎样。 闻起来很香。。
5,0,5,0,看起来还不错，还没用，不知道效果如何。
3,0,3,0,有点贵，好小
17.5,2,5.83,1,促销的时候买了试试看，用了两次，对我来说效果还是挺不错的，我是一到春秋冬季背上就开始痒，背部会长一些疙瘩，而且长时间不消。如果经常用用，期待能出效果。就是价格贵大了！！！
0,0,0,0,∷∷∷∷∷∷∷∷∷∷∷∷
9,1,9,1,这是第二次买了，对付螨虫，非常好，我一次买了三块……
4,0,2,0,用一个月了，今天想起来评价。挺好用的
12,1,12,1,不错，效果没有，洗手专用，，，
0,0,0,0,我们都会有些紧张局势升级换代
-4,0,-4,0,用了几天感觉没什么效果，不知道有没用
0,0,0,0,。。。。。
0,0,0,0,洗了很舒服?
0,0,0,0,?
20.4,2,20.4,2,很好的，效果非常好
16,2,16,2,还不错用两次好像有效果
5.6,1,5.6,1,很好用。
9.9,1,9.9,1,挺不错的东西！…………………………！！！！！！！！！
